Building (control),Property (meter),Customer group,Geo group,Type group,Generic group,UUID,Asset latitude,Asset longitude,Time period,Most wanted,Rank (overall),Rank (network),Rank (customer),Overflow (abs),Overflow (rel),Overflow (spec),Energy (abs),Volume (abs),Volume (spec),Volume (trend),Flow (dim),Demand (sig),Demand (flex),Demand (k),Demand (max),Demand (dim),dT (abs),dT (vw),dT (ideal),dT (trend),dt (srd),rT (abs),rT (vw),rT (trend),rT (srd),rT (flex),NTU,NTU (srd),LMTD,Efficiency,Efficiency (srd),Supply (abs),Supply (flex),Fault (prim loss),Fault (smirch),Fault (heat sys),Fault (valve),Fault (transfer),Data quality - Missing (odt),Data quality - Missing (supply),Data quality - Missing (return),Data quality - Missing (flow),Data quality - Missing (energy),Data quality - Missing (volume),Data quality - Missing (demand),Data quality - Missing (return_sec),Data quality - Missing (supply_sec),Data quality - Outlier (odt),Data quality - Outlier (supply),Data quality - Outlier (return),Data quality - Outlier (flow),Data quality - Outlier (energy),Data quality - Outlier (volume),Data quality - Outlier (demand),Data quality - Outlier (return_sec),Data quality - Outlier (supply_sec),Data quality - Frozen (odt),Data quality - Frozen (supply),Data quality - Frozen (return),Data quality - Frozen (flow),Data quality - Frozen (energy),Data quality - Frozen (volume),Data quality - Frozen (demand),Data quality - Frozen (return_sec),Data quality - Frozen (supply_sec),primloss_rank,smirch_rank,heatsys_rank,valve_rank,transfer_rank,x_sum,y_sum,vector_len,supply_pos,dt_pos,rt_pos,ntu_pos,eff_pos
Delbancogatan 3,Delbancogatan 3,Mölndalsbostäder,Not defined,Not defined,Not defined,475bc107-effa-4a1f-86e5-fc38d5f1eb6f,57.66127426,12.02465933,2/1/2025,5,3,0,0.3333333333,67.90718189,0.08582971352,1.427196145,47.58083333,791.185,16.62822915,-0.1026906409,1389.440475,0.8164677064,-17.20375691,-2.359911785,130.1666667,112.0360984,51.55905754,51.79854987,56.55681576,-0.134088851,0.1666666667,29.5525057,29.42939787,-0.131794753,0.8333333333,-2.498879108,9.210340372,0.8333333333,12.01823487,1.009485054,0.8333333333,81.11156324,-3.418165358,0,0,0,0.07753035625,0.05514108669,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,1,7,9,0.3333333333,6,5,1,1,1
Havrekornsg 1-13,Havrekornsg 1-13,Mölndalsbostäder,Not defined,Not defined,Not defined,6b143f42-e997-4b43-8415-75fa0a6d26ca,57.65894252,11.99147874,2/1/2025,3,5,0.8333333333,0.5,243.1319432,0.09014847634,1.378453722,176.3802,2697.016667,15.29092646,-0.1106941396,4744.194712,0.7929247071,-68.48221816,-9.39399426,409.2166667,427.5963624,56.43044271,56.42269129,61.79505539,-0.1838679509,0,31.87206101,32.06722543,-0.01507727165,-0.1666666667,-2.682306339,2.899558594,-0.8333333333,20.80598612,0.944952487,-0.8333333333,88.30250372,-3.669071696,0,0,0,0.08592116245,0.07766800506,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,8,14,0.9718253158,1,1,2,6,6
Havrekornsg 2-6,Havrekornsg 2-6,Mölndalsbostäder,Not defined,Not defined,Not defined,a456e0e3-c1d0-4f77-b78a-e1e0af2912b6,57.66035284,11.99276198,2/1/2025,2,6,0.6666666667,1,274.2411014,0.1052264221,1.634089198,167.82505,2606.2,15.52926694,-0.008486946793,3931.733048,0.6811243885,-48.41953848,-6.641912,364.9,365.55066,55.67523313,55.45631473,61.87197022,-0.1590142579,0,32.00190972,32.17175672,-0.03449856491,-0.2,-3.098368543,3.506161049,-0.2,17.55504529,0.9699880922,-0.2,87.67714286,-4.238194631,0,0,0,0.1118364593,0.077606691,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,5,11,13,1.201850425,2,2,3,3,3
Lerbrännargatan 1,Lerbrännargatan 1,Mölndalsbostäder,Not defined,Not defined,Not defined,4a1289a6-263e-4e6d-9fd7-8c0976843dd3,57.65750313,12.00303383,2/1/2025,7,1,0.1666666667,0.1666666667,171.2400493,0.1011299949,1.607384693,106.5333333,1693.266667,15.8942428,-0.1869274972,3119.492529,0.7723649107,-38.04833696,-5.219250611,242.7166667,249.4885475,54.23939955,54.2579228,60.1757235,-0.0941514303,0,32.93596677,33.07714321,-0.177758096,0,-2.968161971,3.181818786,-0.25,12.35022096,0.9584899115,-0.25,87.17536632,-4.060087738,0,0,0,0.07501529424,0.06929841787,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,2,6,10,0.2357022604,4,4,4,5,5
Lerbrännargatan 3,Lerbrännargatan 3,Mölndalsbostäder,Not defined,Not defined,Not defined,b55e8d9e-4a7d-429f-b1b3-261c7c67c11b,57.65834562,12.00266538,2/1/2025,6,2,0.3333333333,0,108.6874219,0.06680508637,1.060882595,102.45,1626.933333,15.8802668,-0.1360371082,3057.958058,0.8320532466,-39.57457842,-5.42861158,240.2666667,247.6483497,54.30192311,54.37397169,58.0133433,-0.1592442935,0,33.1096503,33.29072694,-0.1424495568,-0.5,-1.855710093,3.727604548,0.25,17.49565883,0.9759496216,0.25,87.41157341,-2.538387685,0,0,0,0.06653010585,0.07056887221,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,3,5,11,0.3333333333,3,3,5,2,2
Lerbrännargatan 5,Lerbrännargatan 5,Mölndalsbostäder,Not defined,Not defined,Not defined,5842cccb-ea2e-4353-9842-90ae393afefb,57.65855099,12.00213768,2/1/2025,4,4,0.5,0.6666666667,162.776862,0.08541205032,1.486614567,109.495,1905.783333,17.40520876,-0.1286980626,3197.508881,0.7493905508,-34.7169591,-4.762271481,247.5,245.6279805,49.70494395,49.59478559,54.00740874,-0.1073865657,-0.2,37.05950744,37.27269664,-0.1644718061,-0.4,-2.151232395,3.279752738,0.2,9.439064236,0.962362438,0.2,86.76445139,-2.942626566,0,0,0,0.08605091238,0.07625185636,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,4,9,12,0.8333333333,5,6,7,4,4
Lövgatan 1,Lövgatan 1,Mölndalsbostäder,Not defined,Not defined,Not defined,ca013db7-c3b9-45de-876d-a976b33b14ba,57.66114114,12.02174906,2/1/2025,1,7,1,0.8333333333,24.49918874,0.05002233468,0.9191206017,26.65503167,489.765,18.3742044,-0.06071851155,822.8972909,0.6340854484,-8.276986991,-1.135389162,80.43333333,59.43939106,45.73754812,45.79670408,49.25338849,-0.1179074474,0,34.83310888,34.78057381,-0.2176804439,0.1428571429,-1.757920188,2.732950595,0,13.96040132,0.9349728624,0,80.57065699,-2.404622884,0,0,0,0.1079988806,0.08918336752,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,7,10,15,1.301708279,7,7,6,7,7
Delbancogatan 3,Delbancogatan 3,Mölndalsbostäder,Not defined,Not defined,Not defined,475bc107-effa-4a1f-86e5-fc38d5f1eb6f,57.66127426,12.02465933,3/1/2025,4,4,0.6666666667,0.1666666667,82.19488173,0.1149702044,2.125859974,38.66429714,714.9233333,18.49052967,-0.3977214203,2040.246684,0.8269706469,-28.24174824,-3.874039539,114.5,138.2693644,46.02540345,46.35321772,52.5352506,-0.1311967502,0,28.02906371,28.09668256,-0.1173819498,0.8333333333,-3.254923575,6.762217748,0.8333333333,13.89266714,0.9988433389,0.8333333333,74.05446715,-4.452343041,0,0,0,0.08570712751,0.08975720059,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,5,6,13,0.6871842709,6,6,1,1,1
Havrekornsg 1-13,Havrekornsg 1-13,Mölndalsbostäder,Not defined,Not defined,Not defined,6b143f42-e997-4b43-8415-75fa0a6d26ca,57.65894252,11.99147874,3/1/2025,5,3,0.1666666667,0.6666666667,299.1461004,0.118723689,2.060639728,145.171471,2519.683333,17.35660124,-0.3987458146,7967.110274,0.8470547925,-122.1218718,-16.75197144,401.9666667,569.0433775,49.49742549,49.73392578,56.20581762,-0.09719133713,-0.5,32.40882901,32.6189176,0.03182814884,-0.6666666667,-3.35419606,2.258698893,-0.8333333333,20.01050889,0.8955136558,-0.8333333333,81.9062545,-4.588135833,0,0,0,0.09928070491,0.08596803205,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,2,9,10,0.6871842709,1,4,5,6,6
Havrekornsg 2-6,Havrekornsg 2-6,Mölndalsbostäder,Not defined,Not defined,Not defined,a456e0e3-c1d0-4f77-b78a-e1e0af2912b6,57.66035284,11.99276198,3/1/2025,6,2,0,0.3333333333,275.3922746,0.1124930148,1.946171515,141.5046271,2448.083333,17.30037655,-0.3664652599,6508.759665,0.801288789,-92.81593406,-12.73195255,325.7333333,474.5533001,49.96658764,49.8392974,55.99261057,-0.03288052965,0,31.29770429,31.62064888,-0.08271294486,-0.4,-3.013011464,2.710881923,-0.6,18.6775828,0.9335218478,-0.6,81.26429193,-4.121436437,0,0,0,0.09319199981,0.08478464177,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,1,7,9,0.3333333333,2,2,4,5,5
Lerbrännargatan 1,Lerbrännargatan 1,Mölndalsbostäder,Not defined,Not defined,Not defined,4a1289a6-263e-4e6d-9fd7-8c0976843dd3,57.65750313,12.00303383,3/1/2025,7,1,0.3333333333,0,154.2628652,0.1065522979,1.778998214,86.71333334,1447.766667,16.69600984,-0.3336047276,4387.22489,0.7568420714,-59.52313757,-8.165039447,231.1333333,297.9330519,51.41005204,51.53319271,57.63366315,0.04893020787,0.75,28.99859803,29.41061955,-0.2127715861,0.5,-3.111805555,3.791434691,0.5,16.04480063,0.9774367926,0.5,80.40865007,-4.256574843,0,0,0,0.08274896754,0.08685176962,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,3,5,11,0.3333333333,4,1,2,2,2
Lerbrännargatan 3,Lerbrännargatan 3,Mölndalsbostäder,Not defined,Not defined,Not defined,b55e8d9e-4a7d-429f-b1b3-261c7c67c11b,57.65834562,12.00266538,3/1/2025,3,5,0.8333333333,0.5,108.0904743,0.08073281456,1.376773332,78.51,1338.866667,17.05345391,-0.3751833613,4471.061606,0.7318003611,-64.91512258,-8.904680738,199.5833333,304.6572764,49.96029565,50.47886902,54.84082034,-0.05828864308,0,30.75082279,30.91894602,-0.1119044829,0,-2.440262346,2.883161348,-0.25,19.87467403,0.9440424185,-0.25,80.71111844,-3.337984694,0,0,0,0.09363361141,0.09578736444,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,8,14,0.9718253158,3,3,3,4,4
Lerbrännargatan 5,Lerbrännargatan 5,Mölndalsbostäder,Not defined,Not defined,Not defined,5842cccb-ea2e-4353-9842-90ae393afefb,57.65855099,12.00213768,3/1/2025,2,6,0.5,0.8333333333,165.0938153,0.1047560668,1.902989053,86.755,1575.983333,18.16590782,-0.4019332606,4864.728331,0.6875821614,-58.0003438,-7.956151413,212.85,294.0549131,47.39405986,47.38953979,52.86394375,0.1077761953,0,32.80140037,33.37709867,-0.2597388487,-0.2,-2.734941947,3.271895558,0.4,14.17784121,0.9620655481,0.4,80.19546023,-3.741070862,0,0,0,0.1023738361,0.08885762228,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,4,10,12,0.9718253158,5,5,6,3,3
Lövgatan 1,Lövgatan 1,Mölndalsbostäder,Not defined,Not defined,Not defined,ca013db7-c3b9-45de-876d-a976b33b14ba,57.66114114,12.02174906,3/1/2025,1,7,1,1,41.84977999,0.09430298794,1.964259563,21.30562619,443.78,20.82923994,-0.3376410502,1075.33543,0.6973190731,-13.40824551,-1.839265503,74.63333333,69.66609742,39.59775165,40.15737484,45.57237834,-0.2710573308,0,34.07551561,33.71291332,0.1823549544,0,-2.987313347,2.038503696,0,16.07261294,0.869776581,0,73.67326726,-4.086284511,0,0,0,0.1281359974,0.1043935293,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0.001344086022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,7,11,15,1.414213562,7,7,7,7,7
Delbancogatan 3,Delbancogatan 3,Mölndalsbostäder,Not defined,Not defined,Not defined,475bc107-effa-4a1f-86e5-fc38d5f1eb6f,57.66127426,12.02465933,4/1/2025,3,5,0.1818181818,0.8333333333,46.62691628,0.1131323109,2.363189797,19.7305,412.145,20.88872558,-0.2914843135,1796.916604,0.855164997,-20.46454199,-2.807207406,70.13333333,104.2995785,39.74727579,40.6107375,46.407404,-0.2413630805,0.1428571429,28.28105407,27.83996517,0.1320503091,0.7142857143,-3.330064101,2.273004065,0.5714285714,17.6568818,0.8969977107,0.5714285714,68.02832986,-4.555126222,0,0,0,0.2687233441,0.1313101343,-0.001488095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,4,6,3,10,10,0.8529374512,7,6,2,3,3
